Name: usd2brl
Data Provider: www.debit.com.br
Url: www.debit.com.br/consulta20.php?indexador=12&imes=01&iano=2000&fmes=12&fano=2014
Description: Dollar to BRL exchange Rate
time,rate
2001-11-19,2.5179999999999998
2001-11-20,2.5499999999999998
2001-11-21,2.5419999999999998
2001-11-22,2.532
2001-11-23,2.5019999999999998
2001-11-24,2.5019999999999998
2001-11-25,2.5019999999999998
2001-11-26,2.4780000000000002
2001-11-27,2.4700000000000002
2001-11-28,2.48
2001-11-29,2.5350000000000001
2001-11-30,2.4940000000000002
2001-12-01,2.4940000000000002
2001-12-02,2.4940000000000002
2001-12-03,2.4500000000000002
2001-12-04,2.4350000000000001
2001-12-05,2.4340000000000002
2001-12-06,2.3900000000000001
2001-12-07,2.3900000000000001
2001-12-08,2.3900000000000001
2001-12-09,2.3900000000000001
2001-12-10,2.3300000000000001
2001-12-11,2.3780000000000001
2001-12-12,2.3690000000000002
2001-12-13,2.3719999999999999
2001-12-14,2.3740000000000001
2001-12-15,2.3740000000000001
2001-12-16,2.3740000000000001
2001-12-17,2.3540000000000001
2001-12-18,2.323
2001-12-18,2.323
2001-12-19,2.2949999999999999
2001-12-20,2.3319999999999999
2001-12-21,2.3370000000000002
2001-12-22,2.3370000000000002
2001-12-23,2.3370000000000002
2001-12-24,2.3370000000000002
2001-12-25,2.3370000000000002
2001-12-26,2.3199999999999998
2001-12-27,2.3300000000000001
2001-12-28,2.3140000000000001
2001-12-29,2.3140000000000001
2001-12-30,2.3140000000000001
2001-12-31,2.3140000000000001
2002-01-01,2.3140000000000001
2002-01-02,2.2999999999999998
2002-01-03,2.2930000000000001
2002-01-04,2.3250000000000002
2002-01-05,2.3250000000000002
2002-01-06,2.3250000000000002
2002-01-07,2.3250000000000002
2002-01-08,2.3719999999999999
2002-01-09,2.3730000000000002
2002-01-10,2.4199999999999999
2002-01-11,2.3999999999999999
2002-01-12,2.3999999999999999
2002-01-13,2.3999999999999999
2002-01-14,2.395
2002-01-15,2.3730000000000002
2002-01-16,2.3650000000000002
2002-01-17,2.379
2002-01-18,2.3639999999999999
